Cargo_ID,Order_ID,Length_cm,Width_cm,Height_cm,Weight_kg,Category,Fragile,Destination_Zone,Priority,Stackable,Sorting_Sequence,Robotic_Pick_Position_X,Robotic_Pick_Position_Y,Robotic_Pick_Position_Z,Temperature_C,Humidity_%,Vibration_Level,Shock_Impact_g,Tilt_Angle_deg,GPS_Latitude,GPS_Longitude,Light_Exposure_lux,Battery_Level_%,Signal_Strength_dBm
CARGO_0060,ORDER_1145,32.6,53.3,36.2,125.7,Home_Appliances,False,Zone_D,1,False,86,40.5,45.3,3.0,19.76,57.58,4.55,9.71,88.62,12.880565,77.959461,479.67,76.85,-72.35
CARGO_0061,ORDER_900,47.1,24.2,41.8,109.15,Home_Appliances,False,Zone_B,2,False,23,32.7,10.0,8.9,21.66,48.39,4.72,1.18,69.34,11.922857,78.314302,586.36,45.85,-84.0
CARGO_0062,ORDER_730,13.8,5.4,3.3,0.58,Electronics,False,Zone_A,1,True,52,14.4,35.6,5.5,18.14,79.34,2.6,9.58,86.94,11.85123,78.41124,873.75,29.81,-97.06
CARGO_0063,ORDER_953,40.3,12.3,12.8,11.81,Electronics,True,Zone_D,2,False,49,45.4,13.8,0.8,34.86,33.42,3.39,0.91,46.29,11.66047,77.836184,308.82,63.65,-94.8
CARGO_0064,ORDER_141,23.3,28.8,5.9,8.11,Toys,False,Zone_A,2,True,96,40.8,26.6,9.2,20.7,55.12,3.89,2.31,42.63,10.265367,78.139371,700.7,38.1,-51.9
CARGO_0065,ORDER_50,16.6,28.9,1.6,1.54,Clothing,False,Zone_D,5,True,4,19.2,5.4,8.9,18.43,57.51,0.66,0.47,67.99,12.188511,78.795539,861.67,85.71,-45.32
CARGO_0066,ORDER_796,54.8,45.7,13.0,55.6,Home_Appliances,False,Zone_D,3,False,1,38.1,45.8,8.6,26.28,73.5,3.0,7.05,79.23,11.806149,78.740563,202.62,23.43,-90.87
CARGO_0067,ORDER_609,32.8,30.2,2.9,6.89,Electronics,False,Zone_A,4,True,84,12.2,25.1,0.1,14.23,64.46,0.17,8.5,86.77,11.98443,78.909306,356.48,27.89,-85.04
CARGO_0068,ORDER_312,14.6,22.8,2.7,1.77,Books,False,Zone_D,3,True,11,21.1,26.9,3.2,34.07,70.03,2.49,4.34,29.21,12.696433,78.055454,979.81,61.68,-60.87
CARGO_0069,ORDER_936,53.0,54.4,49.6,291.58,Home_Appliances,False,Zone_D,4,False,65,38.8,27.6,8.0,12.24,76.62,0.77,9.29,71.88,12.351882,77.947494,983.22,67.12,-42.74
CARGO_0070,ORDER_51,5.6,11.6,2.5,0.34,Beauty,True,Zone_B,1,False,21,33.9,23.1,6.3,39.61,81.73,0.91,5.9,18.96,12.342746,78.834854,223.23,78.39,-82.02
CARGO_0071,ORDER_732,5.0,3.4,7.6,0.23,Beauty,False,Zone_B,1,True,93,39.1,7.7,1.4,33.17,48.83,1.83,6.3,49.1,12.781551,77.398585,66.45,40.74,-48.69
CARGO_0072,ORDER_397,12.2,22.8,10.0,5.6,Clothing,False,Zone_A,5,True,48,24.4,19.6,0.6,15.96,62.28,2.16,8.45,16.19,12.969805,77.759095,270.92,87.34,-69.64
CARGO_0073,ORDER_941,45.7,29.2,28.3,64.93,Sports,False,Zone_D,1,False,31,12.1,39.8,4.4,10.17,80.41,3.12,2.97,31.27,11.743848,77.126383,397.73,96.25,-42.61
CARGO_0074,ORDER_885,11.8,3.5,6.2,0.56,Beauty,True,Zone_B,4,False,70,20.4,7.0,9.9,34.46,89.37,0.37,3.54,83.82,10.326645,77.217833,441.01,59.92,-91.82
CARGO_0075,ORDER_1167,11.1,5.0,2.9,0.27,Beauty,True,Zone_C,4,False,46,34.6,10.5,4.3,31.21,83.37,2.52,9.06,13.15,11.37739,77.73015,618.81,80.84,-41.58
CARGO_0076,ORDER_570,10.3,9.1,6.2,1.01,Beauty,True,Zone_D,3,False,19,24.8,39.2,8.0,31.87,52.29,0.91,9.01,56.92,12.362803,77.058588,899.5,61.99,-73.54
CARGO_0077,ORDER_169,13.7,11.3,8.2,2.62,Sports,False,Zone_A,5,True,89,11.0,18.7,9.2,33.14,41.71,2.87,9.76,53.37,10.083176,77.736232,330.35,25.56,-42.82
CARGO_0078,ORDER_1097,35.6,15.1,3.1,3.79,Clothing,False,Zone_A,5,True,30,21.6,4.8,2.1,12.22,59.36,3.19,9.02,10.87,10.170662,78.964929,849.98,46.09,-72.48
CARGO_0079,ORDER_237,35.3,28.3,16.2,32.85,Electronics,True,Zone_D,4,False,35,48.2,29.6,5.5,20.75,74.5,2.78,1.27,29.34,10.201473,77.183321,93.48,27.0,-68.2
CARGO_0080,ORDER_431,32.6,48.6,35.0,125.25,Home_Appliances,False,Zone_D,1,False,55,19.6,18.2,4.4,13.48,59.55,3.69,8.24,50.67,12.193107,78.31021,41.87,99.11,-51.71
CARGO_0081,ORDER_276,11.3,19.7,24.5,9.83,Sports,False,Zone_B,5,True,89,40.4,9.6,8.7,35.89,58.99,1.68,4.1,16.85,11.5035,79.739326,504.05,38.32,-56.64
CARGO_0082,ORDER_384,27.3,16.8,9.1,6.81,Clothing,False,Zone_A,3,True,74,36.7,11.2,0.3,28.7,80.29,3.83,9.91,72.06,11.106694,79.373854,59.66,70.87,-62.82
CARGO_0083,ORDER_402,17.2,9.6,17.8,6.31,Toys,False,Zone_A,5,True,97,10.5,2.9,4.1,19.93,51.68,2.16,4.72,87.49,10.316851,77.916313,392.49,42.75,-74.98
CARGO_0084,ORDER_216,19.4,14.5,19.1,12.26,Electronics,True,Zone_D,1,False,9,35.6,48.7,9.3,11.91,81.59,2.42,5.54,19.33,12.196721,79.774416,896.78,72.26,-52.45
CARGO_0085,ORDER_816,42.2,29.3,23.7,53.68,Home_Appliances,False,Zone_D,1,False,78,36.5,45.2,5.5,19.33,54.41,3.24,5.3,16.82,10.963059,77.988939,241.48,36.83,-43.11
CARGO_0086,ORDER_1168,44.4,18.6,16.7,27.54,Electronics,False,Zone_B,4,True,42,47.8,19.1,4.2,19.76,49.69,0.09,3.22,40.94,10.795972,77.217546,705.98,82.82,-99.41
CARGO_0087,ORDER_446,17.9,15.6,4.6,2.17,Clothing,False,Zone_D,1,True,16,4.6,44.4,2.2,31.89,57.24,3.27,0.75,67.3,11.956958,79.982168,302.37,28.86,-64.73
CARGO_0088,ORDER_160,14.6,15.9,2.4,1.33,Toys,False,Zone_C,4,True,86,39.3,45.6,8.7,29.13,75.75,3.09,8.96,25.34,11.677033,79.610068,44.92,91.61,-48.04
CARGO_0089,ORDER_97,75.9,44.5,10.7,76.99,Home_Appliances,False,Zone_C,2,False,14,1.3,14.3,9.7,36.62,37.56,1.55,8.03,1.79,11.087232,78.397798,556.69,87.23,-60.81
CARGO_0090,ORDER_462,10.6,13.8,9.0,2.57,Clothing,False,Zone_B,1,True,96,12.3,28.3,0.8,24.17,41.79,0.43,1.4,48.71,11.924462,78.99913,834.85,74.3,-51.95
CARGO_0091,ORDER_629,21.5,11.5,11.6,5.18,Toys,False,Zone_D,1,True,61,35.8,1.0,6.1,13.59,87.09,0.45,7.77,86.09,10.813665,79.013684,409.47,25.39,-46.3
CARGO_0092,ORDER_1116,26.9,58.3,26.9,80.78,Home_Appliances,False,Zone_C,3,False,64,5.5,0.3,2.9,31.4,40.53,4.62,6.26,35.21,12.384491,77.583447,617.29,36.69,-54.94
CARGO_0093,ORDER_731,30.4,14.1,21.2,18.53,Sports,False,Zone_B,5,True,88,17.0,40.4,1.8,32.82,64.06,3.45,4.09,37.81,10.687957,77.600146,900.02,88.75,-56.98
CARGO_0094,ORDER_860,10.8,17.8,3.9,1.78,Books,False,Zone_B,3,True,99,8.5,31.4,8.0,26.84,64.76,0.64,2.54,87.2,10.476513,78.408742,789.69,29.76,-42.12
CARGO_0095,ORDER_844,14.5,9.4,3.7,1.11,Beauty,False,Zone_B,2,True,38,19.5,29.4,3.1,33.13,59.38,1.78,8.6,62.51,12.347318,79.734719,193.88,32.47,-48.18
CARGO_0096,ORDER_364,18.0,23.8,1.4,1.29,Clothing,False,Zone_A,5,True,6,32.5,21.7,9.2,24.81,68.68,2.96,7.0,64.73,12.123676,77.029981,733.38,63.52,-51.08
CARGO_0097,ORDER_1077,65.3,45.5,27.4,166.03,Home_Appliances,False,Zone_D,3,False,22,0.1,6.1,6.8,25.68,43.79,4.18,5.48,50.64,10.547917,79.347517,501.89,41.93,-94.82
CARGO_0098,ORDER_512,35.8,6.8,8.6,3.54,Clothing,False,Zone_A,4,True,57,0.4,48.2,7.0,22.83,63.16,0.22,6.1,87.71,10.348737,77.17258,745.97,37.77,-85.66
CARGO_0099,ORDER_381,23.0,28.7,8.1,11.87,Toys,False,Zone_B,1,True,14,20.6,25.7,4.6,10.76,52.33,1.18,0.91,62.0,12.515197,78.434666,494.52,66.07,-66.59
CARGO_0100,ORDER_1051,38.5,18.4,10.6,15.28,Toys,False,Zone_C,4,True,36,2.0,7.9,5.5,13.24,69.7,4.45,4.74,80.55,12.329795,78.913618,127.96,49.81,-57.43
CARGO_0101,ORDER_783,44.1,35.6,14.7,39.24,Electronics,False,Zone_C,3,False,62,40.3,40.0,6.9,10.94,38.47,0.05,1.94,62.94,10.981772,79.060278,569.91,31.24,-81.81
CARGO_0102,ORDER_831,11.6,37.1,14.3,10.0,Electronics,True,Zone_D,1,False,17,7.3,44.7,9.2,29.09,64.25,1.01,2.08,66.16,11.974592,77.175438,492.13,62.79,-94.4
CARGO_0103,ORDER_753,67.5,34.0,22.2,108.88,Home_Appliances,False,Zone_B,4,False,21,21.1,49.7,3.3,19.43,41.12,4.8,6.61,26.14,10.372481,78.255811,517.92,50.96,-81.33
CARGO_0104,ORDER_894,24.8,21.0,6.9,5.82,Clothing,False,Zone_B,1,True,45,7.7,27.4,7.7,25.26,46.72,3.07,9.11,27.31,11.521143,78.751512,878.9,78.76,-53.74
CARGO_0105,ORDER_323,43.1,16.7,16.6,20.88,Electronics,False,Zone_A,3,True,57,24.0,8.8,3.1,37.23,43.12,1.31,4.04,70.47,10.056191,77.198137,894.84,28.22,-47.36
CARGO_0106,ORDER_659,60.1,38.6,17.1,79.03,Home_Appliances,False,Zone_D,3,False,77,48.7,7.0,2.1,17.48,40.97,0.33,2.08,26.7,11.174806,77.405284,453.54,69.65,-45.23
CARGO_0107,ORDER_635,57.7,42.4,42.7,244.52,Home_Appliances,False,Zone_C,5,False,43,27.6,24.7,3.8,22.31,79.54,0.14,6.49,50.65,10.224528,78.990947,455.73,54.92,-77.27
CARGO_0108,ORDER_917,71.7,58.7,12.8,97.83,Home_Appliances,False,Zone_D,5,False,49,25.3,37.2,2.8,32.67,47.14,1.22,8.71,22.44,11.425442,78.564915,515.19,52.48,-77.65
CARGO_0109,ORDER_211,22.2,8.0,4.3,1.76,Clothing,False,Zone_D,5,True,15,42.5,23.4,0.6,16.86,85.63,4.41,7.48,73.53,11.265045,77.485486,519.59,38.58,-75.6
CARGO_0110,ORDER_764,27.1,36.0,12.2,24.63,Electronics,False,Zone_D,1,True,86,12.4,10.0,9.1,12.31,88.2,2.08,8.69,9.95,11.333155,78.605718,950.39,22.43,-77.45
CARGO_0111,ORDER_422,21.1,55.6,40.5,92.29,Home_Appliances,False,Zone_A,1,False,37,2.2,24.8,9.6,18.69,64.28,3.6,5.37,74.65,10.135994,79.738077,649.4,87.82,-60.03
CARGO_0112,ORDER_802,44.4,22.3,28.8,65.18,Sports,False,Zone_A,2,False,74,2.0,47.9,2.0,14.84,38.58,4.59,7.52,54.25,11.084849,77.046763,277.46,46.11,-78.5
CARGO_0113,ORDER_131,20.1,53.3,35.5,71.7,Home_Appliances,False,Zone_D,1,False,66,6.0,24.8,9.9,37.89,52.47,2.04,1.4,16.82,12.269452,78.927901,531.54,74.49,-98.78
CARGO_0114,ORDER_1038,34.7,13.9,27.5,28.66,Sports,False,Zone_B,4,True,42,40.8,5.0,7.9,34.24,77.86,0.96,3.48,48.78,11.106743,77.220951,627.22,95.81,-73.66
CARGO_0115,ORDER_624,51.2,39.6,24.7,81.27,Sports,False,Zone_C,3,False,71,16.7,31.3,6.0,29.0,52.04,2.59,3.9,25.42,12.145516,77.019348,639.77,65.2,-86.55
CARGO_0116,ORDER_935,26.7,33.2,14.0,27.45,Electronics,True,Zone_C,3,False,76,10.3,10.4,5.8,36.14,35.22,4.54,5.11,29.11,11.108436,77.451963,585.25,51.77,-98.27
CARGO_0117,ORDER_107,11.9,27.7,26.3,19.79,Sports,False,Zone_D,3,True,34,38.4,21.8,8.9,34.11,63.41,4.02,9.29,31.64,11.269718,78.26872,177.74,41.46,-71.75
CARGO_0118,ORDER_751,12.9,2.8,7.7,0.48,Beauty,True,Zone_D,4,False,42,25.6,9.7,6.5,15.6,80.71,0.33,8.74,5.7,11.691676,79.407032,33.59,94.72,-87.64
CARGO_0119,ORDER_803,6.4,5.9,6.3,0.42,Beauty,True,Zone_D,2,False,19,30.5,10.7,4.7,36.78,77.76,3.46,1.35,88.74,12.852046,77.845356,337.84,74.57,-72.84
CARGO_0120,ORDER_892,28.4,11.9,14.3,8.97,Electronics,True,Zone_D,5,False,1,13.9,5.9,2.6,26.18,40.51,2.86,1.73,2.84,10.326581,78.87702,427.52,73.22,-83.34
CARGO_0121,ORDER_694,68.7,36.5,41.2,191.44,Home_Appliances,False,Zone_C,4,False,88,36.4,46.6,8.0,34.22,70.37,4.54,3.58,59.62,10.098741,78.23347,61.8,54.09,-63.78
CARGO_0122,ORDER_39,20.2,18.7,4.6,3.57,Books,False,Zone_D,1,True,15,34.4,15.6,1.5,36.88,43.23,0.61,2.91,33.41,11.823872,77.702995,814.97,87.6,-40.55
CARGO_0123,ORDER_379,21.0,24.2,25.4,23.14,Home_Appliances,False,Zone_A,1,True,65,43.5,12.1,7.3,19.54,43.09,2.67,6.15,58.14,12.847291,78.542741,344.08,77.09,-67.17
CARGO_0124,ORDER_1085,55.7,19.5,14.5,32.98,Sports,False,Zone_A,3,True,27,4.1,6.0,0.6,13.3,82.44,4.4,9.03,32.06,12.969169,79.392393,913.63,42.65,-61.19
CARGO_0125,ORDER_1071,12.4,9.6,4.1,0.87,Beauty,True,Zone_D,1,False,6,31.3,48.6,2.7,16.84,44.98,2.05,9.62,60.64,11.452493,79.497477,154.41,67.97,-44.84
CARGO_0126,ORDER_231,14.5,31.3,12.6,9.39,Toys,False,Zone_C,5,True,24,17.0,49.2,7.0,22.81,45.79,2.41,6.54,65.63,11.404245,79.539559,56.93,54.42,-77.56
CARGO_0127,ORDER_844,10.3,7.0,7.1,0.9,Clothing,False,Zone_B,3,True,11,23.4,9.3,5.1,34.54,30.04,0.35,8.38,62.15,11.934891,78.015673,482.32,20.53,-90.01
CARGO_0128,ORDER_264,16.8,5.0,11.6,2.12,Toys,False,Zone_A,3,True,81,22.5,23.3,3.9,35.82,82.24,1.39,5.25,10.26,11.666904,79.380368,189.13,84.61,-83.03
CARGO_0129,ORDER_27,22.5,12.2,3.6,1.86,Books,False,Zone_B,3,True,29,30.7,37.4,7.7,10.21,77.56,1.62,2.08,59.12,11.902264,77.636535,937.4,29.83,-75.83
